question_id,source_question_number,question,topic,reference_answer,rubric,difficulty,irt_difficulty,active
MOHLER_2_4,2.4,When does C plus plus create a default constructor?,Object-Oriented Programming,"If no constructor is provided, the compiler provides one by default.  If a constructor is defined for a class, the compiler does not create a default constructor.","1. If no constructor is provided, the compiler provides one by default | 2. If a constructor is defined for a class, the compiler does not create a default constructor",Easy,-1.0,True
MOHLER_2_5,2.5,How many constructors can be created for a class?,Object-Oriented Programming,Unlimited number.,1. Unlimited number,Hard,1.0,True
MOHLER_2_6,2.6,What is the difference between a function prototype and a function definition?,Object-Oriented Programming,"A function prototype includes the function signature, i. e., the name of the function, the return type, and the parameters 's type.  The function definition includes the actual body of the function.","1. A function prototype includes the function signature, i | 2. e., the name of the function, the return type, and the parameters 's type | 3. The function definition includes the actual body of the function",Medium,0.0,True
MOHLER_2_7,2.7,What is the role of a header-file?,Object-Oriented Programming,"To store a class interface, including data members and member function prototypes.","1. To store a class interface, including data members and member function prototypes",Hard,1.0,True
MOHLER_3_1,3.1,What does a function signature include?,Functions and Recursion,The name of the function and the types of the parameters.,1. The name of the function and the types of the parameters,Easy,-1.0,True
MOHLER_3_2,3.2,What is the scope of global variables?,Functions and Recursion,File scope.,1. File scope.,Easy,-1.0,True
MOHLER_3_3,3.3,How does the compiler handle inline functions?,Functions and Recursion,It makes a copy of the function code in every place where a function call is made.,1. It makes a copy of the function code in every place where a function call is made,Medium,0.0,True
MOHLER_3_4,3.4,What is the main advantage associated with function arguments that are passed by reference?,Functions and Recursion,It avoids making copies of large data structures when calling functions.,1. It avoids making copies of large data structures when calling functions,Medium,0.0,True
MOHLER_3_5,3.5,How are overloaded functions differentiated by the compiler?,Functions and Recursion,"Based on the function signature.  When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","1. Based on the function signature | 2. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call",Medium,0.0,True
MOHLER_3_6,3.6,"When defining a recursive function, what are possible causes for infinite recursion?",Functions and Recursion,"If the recursion step is defined incorrectly, or if the base case is not included.","1. If the recursion step is defined incorrectly, or if the base case is not included",Easy,-1.0,True
MOHLER_3_7,3.7,What are the similarities between iteration and recursion?,Functions and Recursion,They both involve repetition; they both have termination tests; they can both occur infinitely.,1. They both involve repetition | 2. they both have termination tests | 3. they can both occur infinitely,Medium,0.0,True
MOHLER_4_1,4.1,What are the two different ways of specifying the length of an array?,Arrays and Strings,"In the array declaration, or by using an initializer list.","1. In the array declaration, or by using an initializer list",Medium,0.0,True
MOHLER_4_2,4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,Arrays and Strings,The strings declared using an array of characters have a null element added at the end of the array.,1. The strings declared using an array of characters have a null element added at the end of the array,Hard,1.0,True
MOHLER_4_3,4.3,How are arrays passed to functions?,Arrays and Strings,by reference.,1. by reference,Medium,0.0,True
MOHLER_4_4,4.4,"What is the difference between an array declared as static, and one that is not?",Arrays and Strings,"The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called.","1. The arrays declared as static live throughout the life of the program | 2. that is, they are initialized only once, when the function that declares the array it is first called",Medium,0.0,True
MOHLER_4_5,4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,Arrays and Strings,"All the dimensions, except the first one.","1. All the dimensions, except the first one",Hard,1.0,True
MOHLER_4_6,4.6,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Arrays and Strings,Run-time error.,1. Run-time error,Hard,1.0,True
MOHLER_4_7,4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",Arrays and Strings,By rows.,1. By rows.,Medium,0.0,True
MOHLER_5_1,5.1,"In one sentence, what is the main idea implemented by insertion sort?",Sorting and Algorithms,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.","1. Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left",Medium,0.0,True
MOHLER_5_2,5.2,"In one sentence, what is the main idea implemented by selection sort?",Sorting and Algorithms,"Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element.","1. Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element",Easy,-1.0,True
MOHLER_5_3,5.3,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",Sorting and Algorithms,N  the length of the array  operations achieved for a sorted array.,1. N the length of the array operations achieved for a sorted array,Hard,1.0,True
MOHLER_5_4,5.4,What is the base case for a recursive implementation of merge sort?,Sorting and Algorithms,When the size of the array to be sorted is 1  or 2,1. When the size of the array to be sorted is 1 or 2,Medium,0.0,True
MOHLER_6_1,6.1,What is a pointer?,Pointers and Memory,A variable that contains the address in memory of another variable.,1. A variable that contains the address in memory of another variable,Easy,-1.0,True
MOHLER_6_2,6.2,What does the address ADDRESS operator return?,Pointers and Memory,The memory address of its operand.,1. The memory address of its operand,Easy,-1.0,True
MOHLER_6_3,6.3,What does the star STAR operator return?,Pointers and Memory,An alias  synonym  for the name of the object that its operand points to in memory.  It is the dereferencing operator.,1. An alias synonym for the name of the object that its operand points to in memory | 2. It is the dereferencing operator,Medium,0.0,True
MOHLER_6_4,6.4,How can an array be addressed in pointer or offset notation?,Pointers and Memory,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.","1. By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element",Hard,1.0,True
MOHLER_6_5,6.5,What does the sizeof operator return?,Pointers and Memory,The size in bytes of its operand.,1. The size in bytes of its operand,Medium,0.0,True
MOHLER_6_6,6.6,What are the different ways to pass a pointer to a function?,Pointers and Memory,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data.","1. There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data",Hard,1.0,True
MOHLER_6_7,6.7,What is a function pointer?,Pointers and Memory,The address of the location in memory where the function code resides.,1. The address of the location in memory where the function code resides,Easy,-1.0,True
MOHLER_7_1,7.1,What is a linked list?,C++ Fundamentals,A collection of elements that can be allocated dynamically.,1. A collection of elements that can be allocated dynamically,Medium,0.0,True
MOHLER_7_2,7.2,What is the main advantage of linked lists over arrays?,Arrays and Strings,The linked lists can be of variable length.,1. The linked lists can be of variable length,Easy,-1.0,True
MOHLER_7_3,7.3,What is the main advantage of arrays over linked lists?,Arrays and Strings,"The elements in an array can be accessed directly  as opposed to linked lists, which require iterative traversal  .","1. The elements in an array can be accessed directly as opposed to linked lists, which require iterative traversal",Medium,0.0,True
MOHLER_7_4,7.4,How are linked lists passed as arguments to a function?,Functions and Recursion,By reference.,1. By reference,Hard,1.0,True
MOHLER_7_5,7.5,What is the difference between a circular linked list and a basic linked list?,C++ Fundamentals,The last element in a circular linked list points to the head of the list.,1. The last element in a circular linked list points to the head of the list,Easy,-1.0,True
MOHLER_7_6,7.6,What is the main advantage of a doubly-linked list over a basic linked list?,C++ Fundamentals,"All the deletion and insertion operations can be performed in constant time, including those operations performed before a given location in the list or at the end of the list.","1. All the deletion and insertion operations can be performed in constant time, including those operations performed before a given location in the list or at the end of the list",Hard,1.0,True
MOHLER_7_7,7.7,What is the main disadvantage of a doubly-linked list over a basic linked list?,C++ Fundamentals,Extra space required to store the back pointers.,1. Extra space required to store the back pointers,Medium,0.0,True
MOHLER_8_1,8.1,What is a stack?,C++ Fundamentals,"A data structure that can store elements, which has the property that the last item added will be the first to be removed  or last-in-first-out","1. A data structure that can store elements, which has the property that the last item added will be the first to be removed or last-in-first-out",Medium,0.0,True
MOHLER_8_2,8.2,What are the two main functions defined by a stack?,Functions and Recursion,push and pop,1. push and pop,Easy,-1.0,True
MOHLER_8_3,8.3,How can you implement a stack with an array?,Arrays and Strings,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.","1. Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array",Medium,0.0,True
MOHLER_8_4,8.4,How can you implement a stack with a list?,C++ Fundamentals,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.","1. Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list",Hard,1.0,True
MOHLER_8_5,8.5,"Which implementation array-based vs. list-based is preferred, and why?",Arrays and Strings,"Link-based, because they are dynamic  no size constraints","1. Link-based, because they are dynamic no size constraints",Medium,0.0,True
MOHLER_8_6,8.6,How are infix expressions evaluated by computers?,C++ Fundamentals,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.","1. First, they are converted into postfix form, followed by an evaluation of the postfix expression",Medium,0.0,True
MOHLER_8_7,8.7,What operations would you need to perform to find a given element on a stack?,C++ Fundamentals,"Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack.","1. Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack",Hard,1.0,True
MOHLER_9_1,9.1,What is a queue?,C++ Fundamentals,"A data structure that can store elements, which has the property that the last item added will be the last to be removed  or first-in-first-out  .","1. A data structure that can store elements, which has the property that the last item added will be the last to be removed or first-in-first-out",Easy,-1.0,True
MOHLER_9_2,9.2,What are the two main functions defined by a queue?,Functions and Recursion,enqueue and dequeue,1. enqueue and dequeue,Easy,-1.0,True
MOHLER_9_3,9.3,How can you implement a queue with an array?,Arrays and Strings,"Use a circular array.  Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around.","1. Use a circular array | 2. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around",Hard,1.0,True
MOHLER_9_4,9.4,How can you implement a queue with a list?,C++ Fundamentals,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.","1. Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list",Medium,0.0,True
MOHLER_9_5,9.5,"Which implementation array-based vs. list-based is preferred for a queue, and why?",Arrays and Strings,"Link-based, because they are dynamic  no size constraints","1. Link-based, because they are dynamic no size constraints",Easy,-1.0,True
MOHLER_9_6,9.6,What is the stack operation corresponding to the enqueue operation in queues?,C++ Fundamentals,push,1. push,Easy,-1.0,True
MOHLER_9_7,9.7,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",C++ Fundamentals,queue,1. queue,Easy,-1.0,True
MOHLER_10_1,10.1,What is a tree?,C++ Fundamentals,"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.","1. A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree",Medium,0.0,True
MOHLER_10_2,10.2,What is the height of a tree?,C++ Fundamentals,The length of the longest path from the root to any of its leaves.,1. The length of the longest path from the root to any of its leaves,Medium,0.0,True
MOHLER_10_3,10.3,What is a leaf?,C++ Fundamentals,A node that has no children.,1. A node that has no children,Easy,-1.0,True
MOHLER_10_4,10.4,What is a binary tree?,C++ Fundamentals,A tree for which the maximum number of children per node is two.,1. A tree for which the maximum number of children per node is two,Easy,-1.0,True
MOHLER_10_5,10.5,What is a binary search tree?,C++ Fundamentals,A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,1. A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child,Medium,0.0,True
MOHLER_10_6,10.6,What is the inorder traversal of a binary tree?,C++ Fundamentals,"Traverse the left subtree, then the root, then the right subtree.","1. Traverse the left subtree, then the root, then the right subtree",Medium,0.0,True
MOHLER_10_7,10.7,How many comparisons does it take to find an element in a binary search tree?,C++ Fundamentals,The height of the tree  or log of the number of elements in the tree  .,1. The height of the tree or log of the number of elements in the tree,Hard,1.0,True
MOHLER_11_1,11.1,What are the elements typically included in a class definition?,Object-Oriented Programming,Function members and data members.,1. Function members and data members,Hard,1.0,True
MOHLER_11_2,11.2,What are the access-specifiers that can be used in a C plus plus class definition?,Object-Oriented Programming,Private and public.,1. Private and public,Medium,0.0,True
MOHLER_11_3,11.3,How are objects initialized when they are created?,C++ Fundamentals,By using constructors.,1. By using constructors,Easy,-1.0,True
MOHLER_11_4,11.4,What is a function signature?,Functions and Recursion,"The name of the function and the list of parameters, including their types.","1. The name of the function and the list of parameters, including their types",Hard,1.0,True
MOHLER_11_5,11.5,What is a recursive function?,Functions and Recursion,A function that calls itself.,1. A function that calls itself,Easy,-1.0,True
MOHLER_11_6,11.6,What is the alternative way to solve a problem that could be solved through recursive functions?,Functions and Recursion,Through iteration.,1. Through iteration,Easy,-1.0,True
MOHLER_11_7,11.7,What is the difference between an array that is declared as static and one that is not?,Arrays and Strings,The static arrays are intialized only once when the function is called.,1. The static arrays are intialized only once when the function is called,Easy,-1.0,True
MOHLER_11_8,11.8,What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char []?,Arrays and Strings,The char [] will automatically add a null 0 character at the end of the string.,1. The char [] will automatically add a null 0 character at the end of the string,Hard,1.0,True
MOHLER_11_9,11.9,Briefly describe the divide-and-conquer paradigm.,C++ Fundamentals,"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.","1. Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem",Hard,1.0,True
MOHLER_11_11,11.11,Briefly describe in one sentence how does merge sort work?,Sorting and Algorithms,"It splits the original array into two, sorts each of the two halves, and then merges the sorted arrays.","1. It splits the original array into two, sorts each of the two halves, and then merges the sorted arrays",Medium,0.0,True
MOHLER_12_1,12.1,What is a pointer?,Pointers and Memory,The address of a location in memory.,1. The address of a location in memory,Easy,-1.0,True
MOHLER_12_2,12.2,What is the experimental approach for measuring the running time of an algorithm?,C++ Fundamentals,Implement the algorithm and measure the physical running time.,1. Implement the algorithm and measure the physical running time,Hard,1.0,True
MOHLER_12_3,12.3,Order the following functions by their running time: n to the power of 2; log log n ; 2 to the power of log n ; n!; n to the power of 3.,Functions and Recursion,log  log n  ; 2 to the power of  log n  ; n to the power of 2; n to the power of 3; n!,1. 2 to the power of log n | 2. n to the power of 2 | 3. n to the power of 3,Hard,1.0,True
MOHLER_12_4,12.4,"Briefly, how does selection sort work?",Sorting and Algorithms,"It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.","1. It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth",Hard,1.0,True
MOHLER_12_5,12.5,What is the advantage of linked lists over arrays?,Arrays and Strings,"Linked lists are dynamic structures, which allow for a variable number of elements to be stored.","1. Linked lists are dynamic structures, which allow for a variable number of elements to be stored",Easy,-1.0,True
MOHLER_12_6,12.6,What is a queue?,C++ Fundamentals,A data structure that stores elements following the first in first out principle.  The main operations in a queue are enqueue and dequeue.,1. A data structure that stores elements following the first in first out principle | 2. The main operations in a queue are enqueue and dequeue,Easy,-1.0,True
MOHLER_12_7,12.7,What are the main operations associated with a stack?,C++ Fundamentals,push and pop,1. push and pop,Easy,-1.0,True
MOHLER_12_8,12.8,What is the Euler tour traversal of a tree?,C++ Fundamentals,"A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right.","1. A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right",Hard,1.0,True
MOHLER_12_9,12.9,How do you delete a node from a binary search tree?,C++ Fundamentals,"Find the node, then replace it with the leftmost node from its right subtree  or the rightmost node from its left subtree  .","1. Find the node, then replace it with the leftmost node from its right subtree or the rightmost node from its left subtree",Hard,1.0,True
MOHLER_12_11,12.11,How many steps does it take to search a node in a binary search tree?,C++ Fundamentals,The height of the tree.,1. The height of the tree,Hard,1.0,True
